dataset,hidden_layers,learning_rate,activation,optimizer,epochs,avg_f1_score
1_ef_b.csv,"[15, 15]",0.1,tanh,sgd,25,0.8496970790667241
1_ef_b.csv,"[15, 15]",0.1,tanh,sgd,50,0.8565033066431701
1_ef_b.csv,"[15, 15]",0.1,tanh,rmsprop,10,0.8371329772218965
1_ef_b.csv,"[15, 15]",0.1,tanh,rmsprop,25,0.8437791634965232
1_ef_b.csv,"[15, 15]",0.1,tanh,rmsprop,50,0.8613979719042352
1_ef_b.csv,"[15, 15, 15]",0.001,relu,adam,10,0.4330058278107197
1_ef_b.csv,"[15, 15, 15]",0.001,relu,adam,25,0.6878327788202231
1_ef_b.csv,"[15, 15, 15]",0.001,relu,adam,50,0.8086087297715204
1_ef_b.csv,"[15, 15, 15]",0.001,relu,sgd,10,0.2707770572450805
1_ef_b.csv,"[15, 15, 15]",0.001,relu,sgd,25,0.4195610710565273
1_ef_b.csv,"[15, 15, 15]",0.001,relu,sgd,50,0.33330128205128207
1_ef_b.csv,"[15, 15, 15]",0.001,relu,rmsprop,10,0.8355620931525619
1_ef_b.csv,"[15, 15, 15]",0.001,relu,rmsprop,25,0.8591120022953438
1_ef_b.csv,"[15, 15, 15]",0.001,relu,rmsprop,50,0.8537600589088002
1_ef_b.csv,"[15, 15, 15]",0.001,tanh,adam,10,0.6208096716947649
1_ef_b.csv,"[15, 15, 15]",0.001,tanh,adam,25,0.8244982777814531
1_ef_b.csv,"[15, 15, 15]",0.001,tanh,adam,50,0.8561927155614649
1_ef_b.csv,"[15, 15, 15]",0.001,tanh,sgd,10,0.10296248886073603
1_ef_b.csv,"[15, 15, 15]",0.001,tanh,sgd,25,0.49588302086282177
1_ef_b.csv,"[15, 15, 15]",0.001,tanh,sgd,50,0.24561806999306998
1_ef_b.csv,"[15, 15, 15]",0.001,tanh,rmsprop,10,0.8589891793818232
1_ef_b.csv,"[15, 15, 15]",0.001,tanh,rmsprop,25,0.8579365478028759
1_ef_b.csv,"[15, 15, 15]",0.001,tanh,rmsprop,50,0.8527074273298529
