dataset,hidden_layers,learning_rate,activation,optimizer,epochs,avg_f1_score
1_ef_b.csv,"[15, 15, 15]",0.001,relu,sgd,25,0.23075320512820513
1_ef_b.csv,"[15, 15, 15]",0.001,relu,sgd,50,0.5722435897435898
1_ef_b.csv,"[15, 15, 15]",0.001,relu,rmsprop,10,0.8474028679458876
1_ef_b.csv,"[15, 15, 15]",0.001,relu,rmsprop,25,0.8591120022953438
1_ef_b.csv,"[15, 15, 15]",0.001,relu,rmsprop,50,0.850036114902443
1_ef_b.csv,"[15, 15, 15]",0.001,tanh,adam,10,0.6013513359210603
1_ef_b.csv,"[15, 15, 15]",0.001,tanh,adam,25,0.8520798853580505
1_ef_b.csv,"[15, 15, 15]",0.001,tanh,adam,50,0.8603763883158274
1_ef_b.csv,"[15, 15, 15]",0.001,tanh,sgd,10,0.4015064102564102
1_ef_b.csv,"[15, 15, 15]",0.001,tanh,sgd,25,0.4117495218608302
1_ef_b.csv,"[15, 15, 15]",0.001,tanh,sgd,50,0.5342340003377238
1_ef_b.csv,"[15, 15, 15]",0.001,tanh,rmsprop,10,0.8552737862478255
1_ef_b.csv,"[15, 15, 15]",0.001,tanh,rmsprop,25,0.8565033066431701
1_ef_b.csv,"[15, 15, 15]",0.001,tanh,rmsprop,50,0.8537600589088002
1_ef_b.csv,"[15, 15, 15]",0.01,relu,adam,10,0.8379638123334574
1_ef_b.csv,"[15, 15, 15]",0.01,relu,adam,25,0.8547934186621948
1_ef_b.csv,"[15, 15, 15]",0.01,relu,adam,50,0.8490208345725971
1_ef_b.csv,"[15, 15, 15]",0.01,relu,sgd,10,0.2635416666666667
1_ef_b.csv,"[15, 15, 15]",0.01,relu,sgd,25,0.353362556561086
1_ef_b.csv,"[15, 15, 15]",0.01,relu,sgd,50,0.4292140938296223
1_ef_b.csv,"[15, 15, 15]",0.01,relu,rmsprop,10,0.8553753020907509
1_ef_b.csv,"[15, 15, 15]",0.01,relu,rmsprop,25,0.8623279082101085
1_ef_b.csv,"[15, 15, 15]",0.01,relu,rmsprop,50,0.8558002655903897
1_ef_b.csv,"[15, 15, 15]",0.01,tanh,adam,10,0.8565867497700914
1_ef_b.csv,"[15, 15, 15]",0.01,tanh,adam,25,0.8456151983955188
1_ef_b.csv,"[15, 15, 15]",0.01,tanh,adam,50,0.8602570656376903
